ID	yeasTSSdb (+/- 100bp)	>10% overlap with predicted UTRs (Nagalakshmi 2008)	chr	db	type	end5	end3	length	strand	gene_id_up	strand_up	up_gene_name	gene_id_down	strand_down	down_gene_name	baseMean_wt	log2FoldChange_wt	TPMs_wt	lfcSE_wt	pvalue_wt	padj_wt	baseMean_kar4	log2FoldChange_kar4	TPMs_kar4	lfcSE_kar4	pvalue_kar4	padj_kar4	Kar4 dependent_kar4	baseMean_ste12	log2FoldChange_ste12	TPMs_ste12	lfcSE_ste12	pvalue_ste12	padj_ste12	Ste12 dependent_ste12	Max(|Log2FC|)_ste12
MSTRG.519			XIII	StringTie	transcript	809286	809567	281	+	tQ(CUG)M	-	tQ(CUG)M	YMR272C	-	SCS7	5.27	0.16	103.16	0.61	4.75E-01	7.06E-01	4.90	1.49	249.02	0.83	2.02E-03	7.90E-03	Y	2.84	-0.07	95.89	0.25	3.15E-01	1.00E+00		1.488002727
MSTRG.122			IV	StringTie	transcript	1015967	1017000	1033	-	YDR277C	-	MTH1	YDR278C	-	YDR278C	5.09	0.15	83.15	0.40	4.77E-01	7.08E-01	27.93	4.13	207.51	0.52	3.77E-17	9.14E-16	Y	5.73	0.02	53.29	0.23	8.45E-01	1.00E+00		4.125509314
MSTRG.297			VII	StringTie	transcript	620084	621775	1691	+	YGR065C	-	VHT1	YGR067C	-	YGR067C	70.42	-0.10	596.79	0.17	4.78E-01	7.08E-01	72.13	0.06	568.77	0.18	7.23E-01	8.17E-01		112.56	0.12	652.27	0.14	2.61E-01	5.88E-01		0.1166901
MSTRG.594	CP_supported		XV	StringTie	transcript	281703	282071	368	+	YOL022C	-	TSR4	tG(GCC)O2	+	tG(GCC)O2	5.68	0.14	242.21	0.38	4.82E-01	7.12E-01	4.06	-0.23	120.93	0.49	4.73E-01	6.31E-01		8.49	0.01	203.21	0.22	9.22E-01	1.00E+00		0.225688983
MSTRG.73	CP_supported		III	StringTie	transcript	303109	304298	1189	+	YCR101C	-	YCR101C	YCR102C	-	YCR102C	16.18	0.13	167.25	0.26	4.85E-01	7.14E-01	17.20	0.15	195.89	0.31	5.56E-01	6.93E-01		24.74	0.03	202.27	0.19	7.61E-01	9.28E-01		0.153356368
MSTRG.92			IV	StringTie	transcript	292353	292632	279	-	YDL093W	+	PMT5	YDL092W	+	SRP14	5.72	-0.14	268.91	0.37	4.87E-01	7.17E-01	6.34	-0.48	237.36	0.48	1.41E-01	2.62E-01		11.91	0.01	401.34	0.22	9.22E-01	9.91E-01		0.477694581
MSTRG.227	CP_supported		V	StringTie	transcript	437913	438617	704	+	YER134C	-	YER134C	tV(AAC)E1	+	tV(AAC)E1	16.36	-0.12	340.34	0.27	4.92E-01	7.22E-01	14.60	-0.40	311.06	0.33	1.45E-01	2.68E-01		25.83	-0.12	347.72	0.20	2.98E-01	6.17E-01		0.396782294
MSTRG.420			XI	StringTie	transcript	355631	356238	607	-	YKL045W	+	PRI2	YKL044W	+	MMO1	4.13	0.14	104.10	0.40	4.95E-01	7.25E-01	6.92	0.99	147.54	0.57	8.12E-03	2.65E-02		10.78	0.13	188.11	0.23	2.11E-01	5.49E-01		0.985262049
MSTRG.545			XIV	StringTie	transcript	446122	447033	911	+	YNL095C	-	YNL095C	YNL094W	+	APP1	126.63	-0.09	2116.41	0.15	4.97E-01	7.27E-01	223.16	1.02	3583.84	0.14	1.38E-14	2.91E-13	Y	91.66	0.21	918.34	0.16	6.48E-02	3.12E-01		1.015024721
MSTRG.270	CP_supported		VII	StringTie	transcript	73939	74811	872	-	tV(AAC)G3	-	tV(AAC)G3	NA	NA	NA	15.53	0.12	256.75	0.27	5.02E-01	7.32E-01	14.41	-0.62	229.20	0.35	2.68E-02	7.17E-02		21.46	-0.06	233.08	0.19	5.72E-01	8.18E-01		0.618054506
MSTRG.214			V	StringTie	transcript	271161	271633	472	+	YER057C	-	HMF1	YER058W	+	PET117	17.64	-0.12	531.69	0.26	5.06E-01	7.34E-01	13.86	-0.32	397.73	0.33	2.47E-01	4.00E-01		23.88	0.13	494.85	0.20	2.64E-01	5.90E-01		0.315413023
MSTRG.98	CP_supported		IV	StringTie	transcript	431788	432023	235	+	YDL012C	-	YDL012C	YDL011C	-	YDL011C	3.80	-0.14	239.28	0.42	5.05E-01	7.34E-01	4.21	0.03	249.85	0.46	9.10E-01	9.48E-01		7.38	0.05	292.23	0.23	6.02E-01	1.00E+00		0.1379292
MSTRG.125			IV	StringTie	transcript	1031937	1032183	246	+	YDR284C	-	DPP1	YDR285W	+	ZIP1	13.49	0.12	745.15	0.28	5.11E-01	7.38E-01	13.32	0.33	792.23	0.34	2.23E-01	3.70E-01		23.65	-0.10	944.95	0.19	3.70E-01	6.65E-01		0.333449553
MSTRG.322			VII	StringTie	transcript	990103	990842	739	+	YGR249W	+	MGA1	YGR250C	-	RIE1	10.45	-0.13	189.86	0.32	5.10E-01	7.38E-01	15.91	0.65	306.99	0.34	1.93E-02	5.48E-02		22.36	-0.01	284.69	0.20	9.41E-01	9.92E-01		0.64672378
MSTRG.450			XII	StringTie	transcript	274206	275242	1036	+	YLR070C	-	XYL2	YLR071C	-	RGR1	33.05	-0.11	415.81	0.21	5.16E-01	7.44E-01	29.53	0.10	391.39	0.25	6.45E-01	7.61E-01		50.52	0.32	463.88	0.19	1.25E-02	1.09E-01		0.319777835
MSTRG.421	CP_supported		XI	StringTie	transcript	368886	369120	234	-	YKL038W	+	RGT1	YKL037W	+	AIM26	4.36	-0.13	224.31	0.40	5.18E-01	7.45E-01	4.95	0.59	317.54	0.52	8.07E-02	1.76E-01		6.76	-0.04	264.55	0.23	6.38E-01	1.00E+00		0.59269455
MSTRG.102			IV	StringTie	transcript	505448	507843	2395	-	YDR032C	-	PST2	YDR033W	+	MRH1	71.86	-0.09	422.16	0.17	5.19E-01	7.45E-01	68.80	-0.34	391.50	0.19	5.11E-02	1.25E-01		108.78	-0.20	443.56	0.15	7.38E-02	3.24E-01		0.341232865
MSTRG.541	CP_supported		XIV	StringTie	transcript	355718	356830	1112	+	NA	NA	NA	YNL142W	+	MEP2	47.65	0.10	608.11	0.19	5.24E-01	7.50E-01	76.45	0.66	913.67	0.18	9.11E-05	5.10E-04	Y	36.24	-0.11	304.06	0.18	3.30E-01	6.33E-01		0.657910778
MSTRG.407	CP_supported		XI	StringTie	transcript	88711	89003	292	+	YKL188C	-	PXA2	YKL187C	-	FAT3	16.75	0.11	827.57	0.26	5.26E-01	7.51E-01	17.24	0.62	830.14	0.32	2.11E-02	5.84E-02		24.73	0.16	861.08	0.21	1.62E-01	5.04E-01		0.616428261
MSTRG.218	CP_supported		V	StringTie	transcript	290973	291521	548	-	YER066W	+	RRT13	YER066C-A	-	YER066C-A	9.31	-0.12	251.35	0.31	5.32E-01	7.57E-01	12.06	-0.04	294.06	0.34	8.98E-01	9.42E-01		14.43	-0.20	247.95	0.23	7.98E-02	3.34E-01		0.199564234
MSTRG.346	CP_supported		VIII	StringTie	transcript	241849	242206	357	-	YHR072W-A	+	NOP10	YHR073W	+	OSH3	25.12	-0.11	874.22	0.24	5.38E-01	7.59E-01	30.15	-0.36	1202.56	0.26	1.17E-01	2.32E-01		36.25	-0.42	1009.07	0.23	2.51E-03	3.72E-02		0.415376759
MSTRG.311	CP_supported		VII	StringTie	transcript	779830	780119	289	+	tG(UCC)G	+	tG(UCC)G	YGR144W	+	THI4	10.29	0.12	551.87	0.32	5.37E-01	7.59E-01	5.43	0.22	331.36	0.45	4.83E-01	6.40E-01		15.11	0.24	479.04	0.24	3.81E-02	2.25E-01		0.243744309
MSTRG.584	CP_supported		XV	StringTie	transcript	71120	72522	1402	-	YOL133W	+	HRT1	YOL131W	+	YOL131W	39.25	-0.10	397.70	0.20	5.35E-01	7.59E-01	42.54	-0.34	413.24	0.22	9.10E-02	1.92E-01		86.47	0.19	571.34	0.16	1.01E-01	3.89E-01		0.338976598
MSTRG.79			IV	StringTie	transcript	21435	21838	403	+	YDL241W	+	YDL241W	YDL240C-A	-	YDL240C-A	7.88	-0.12	245.07	0.34	5.37E-01	7.59E-01	11.97	-0.34	360.93	0.36	2.34E-01	3.85E-01		19.35	-0.15	415.74	0.21	1.88E-01	5.32E-01		0.337817394
MSTRG.553	CP_supported		XIV	StringTie	transcript	597781	600822	3041	+	YNL020C	-	ARK1	YNL017C	-	YNL017C	41.83	0.10	194.49	0.20	5.41E-01	7.62E-01	39.05	-0.07	190.59	0.24	7.58E-01	8.46E-01		65.76	0.04	215.03	0.15	7.41E-01	9.13E-01		0.09691966
MSTRG.595			XV	StringTie	transcript	292237	292501	264	-	YOL018C	-	TLG2	YOL017W	+	ESC8	8.48	-0.12	386.43	0.34	5.44E-01	7.64E-01	5.17	-0.51	280.03	0.50	1.26E-01	2.43E-01		15.53	0.11	589.36	0.21	3.14E-01	6.25E-01		0.505180115
MSTRG.342			VIII	StringTie	transcript	150775	151077	302	-	YHR022C	-	YHR022C	YHR022C-A	-	YHR022C-A	6.21	-0.12	302.86	0.35	5.48E-01	7.68E-01	7.11	-1.22	322.80	0.60	2.24E-03	8.67E-03	Y	12.36	-0.01	378.40	0.21	9.47E-01	9.92E-01		1.215397085
MSTRG.607			XV	StringTie	transcript	504438	505504	1066	+	YOR095C	-	RKI1	YOR096W	+	RPS7A	27.29	0.10	372.69	0.22	5.57E-01	7.79E-01	46.04	0.99	473.29	0.24	4.68E-06	3.26E-05	Y	37.08	0.02	340.35	0.17	8.86E-01	9.81E-01		0.989038625
MSTRG.356			VIII	StringTie	transcript	364271	365024	753	+	YHR129C	-	ARP1	YHR131C	-	YHR131C	15.74	0.11	304.52	0.27	5.59E-01	7.81E-01	13.84	-0.13	247.55	0.32	6.18E-01	7.44E-01		20.99	0.07	245.43	0.20	5.49E-01	8.04E-01		0.133053846
MSTRG.83	CP_supported		IV	StringTie	transcript	80794	83355	2561	+	YDL211C	-	YDL211C	tG(GCC)D1	+	tG(GCC)D1	62.54	-0.08	352.54	0.17	5.62E-01	7.83E-01	72.34	0.49	388.94	0.19	5.11E-03	1.80E-02		98.59	-0.01	390.67	0.13	9.26E-01	9.91E-01		0.493957036
MSTRG.486	CP_supported		XIII	StringTie	transcript	122150	122962	812	-	YML074C	-	FPR3	YML073C	-	RPL6A	24.36	0.10	415.88	0.23	5.65E-01	7.85E-01	32.30	0.36	586.55	0.24	9.57E-02	2.00E-01		45.15	-0.04	492.63	0.17	7.24E-01	9.02E-01		0.3646911
MSTRG.624			XV	StringTie	transcript	911472	912476	1004	.	YOR317W	+	FAA1	YOR319W	+	HSH49	603.50	-0.05	8372.22	0.10	5.66E-01	7.85E-01	512.74	-0.54	6917.77	0.10	2.69E-08	2.59E-07	Y	985.11	-0.07	9614.26	0.09	3.16E-01	6.26E-01		0.535780069
MSTRG.631	CP_supported		XV	StringTie	transcript	1019007	1020011	1004	+	YOR362C	-	PRE10	YOR363C	-	PIP2	21.36	0.10	280.97	0.24	5.68E-01	7.85E-01	22.43	0.24	341.95	0.28	3.08E-01	4.62E-01		38.39	0.13	392.14	0.18	2.77E-01	6.00E-01		0.244975345
MSTRG.597			XV	StringTie	transcript	363832	364187	355	-	YOR017W	+	PET127	YOR018W	+	ROD1	5.14	-0.11	182.09	0.38	5.69E-01	7.86E-01	3.57	-0.22	136.54	0.50	4.79E-01	6.36E-01		7.54	-0.02	203.35	0.23	8.54E-01	1.00E+00		0.223539355
MSTRG.138			IV	StringTie	transcript	1493368	1493758	390	+	snR84	-	snR84	YDR528W	+	HLR1	4.72	-0.11	138.03	0.39	5.74E-01	7.91E-01	4.53	-0.06	129.28	0.47	8.58E-01	9.12E-01		13.51	0.01	325.09	0.21	9.28E-01	9.91E-01		0.1128499
MSTRG.254	CP_supported		VI	StringTie	transcript	110189	110506	317	+	YFL012W-A	+	YFL012W-A	YFL012W	+	YFL012W	31.17	0.09	1382.00	0.21	5.78E-01	7.91E-01	34.04	-0.31	1593.91	0.24	1.41E-01	2.62E-01		52.84	-0.24	1519.07	0.18	5.34E-02	2.79E-01		0.314393257
MSTRG.234			V	StringTie	transcript	562961	563348	387	+	YER186C	-	YER186C	NA	NA	NA	4.78	-0.11	157.01	0.39	5.79E-01	7.91E-01	6.22	-0.24	248.49	0.44	4.28E-01	5.83E-01		12.37	0.03	273.97	0.21	7.43E-01	9.13E-01		0.243313625
MSTRG.68	CP_supported		III	StringTie	transcript	262867	263192	325	-	YCR084C	-	TUP1	YCR086W	+	CSM1	5.12	-0.11	179.52	0.38	5.79E-01	7.91E-01	4.39	-0.20	203.39	0.47	5.14E-01	6.61E-01		6.45	0.00	181.59	0.23	9.92E-01	1.00E+00		0.203386118
MSTRG.357			VIII	StringTie	transcript	379640	379905	265	+	YHR139C	-	SPS100	YHR139C-A	-	YHR139C-A	4.77	0.11	276.99	0.38	5.78E-01	7.91E-01	6.55	0.06	274.33	0.43	8.45E-01	9.03E-01		8.50	0.06	323.33	0.23	5.55E-01	1.00E+00		0.1108448
MSTRG.22			II	StringTie	transcript	169658	169869	211	.	YBL027W	+	RPL19B	YBL026W	+	LSM2	514.97	0.06	34006.22	0.11	5.88E-01	7.94E-01	463.39	-0.01	30510.72	0.11	9.10E-01	9.48E-01		700.08	-0.10	32749.48	0.10	2.19E-01	5.56E-01		0.096654818
MSTRG.608			XV	StringTie	transcript	546438	546849	411	-	YOR117W	+	RPT5	YOR118W	+	RTC5	9.58	0.10	357.40	0.32	5.85E-01	7.94E-01	8.08	0.20	285.28	0.39	4.91E-01	6.46E-01		12.90	0.11	309.44	0.22	3.06E-01	6.22E-01		0.203002638
MSTRG.24	CP_supported		II	StringTie	transcript	238501	238931	430	+	YBL001C	-	ECM15	YBR001C	-	NTH2	44.97	0.09	1451.60	0.20	5.87E-01	7.94E-01	42.14	-0.14	1265.24	0.22	5.05E-01	6.56E-01		70.59	0.00	1583.30	0.15	9.89E-01	1.00E+00		0.135149433
MSTRG.350			VIII	StringTie	transcript	273817	274068	251	-	YHR083W	+	SAM35	YHR084W	+	STE12	2.88	0.12	122.87	0.47	5.84E-01	7.94E-01	0.68	0.50	0.00	0.91	1.33E-01	1.00E+00		9.52	-0.15	381.52	0.24	1.48E-01	1.00E+00		0.495156245
MSTRG.619	CP_supported		XV	StringTie	transcript	844716	844934	218	+	YOR279C	-	RFM1	YOR280C	-	FSH3	3.43	-0.11	161.20	0.44	5.87E-01	7.94E-01	2.09	-0.30	96.91	0.62	3.49E-01	5.08E-01		6.12	-0.13	231.15	0.26	1.17E-01	1.00E+00		0.30098916
MSTRG.436			XI	StringTie	transcript	663687	665353	1666	+	YKR106W	+	GEX2	NA	NA	NA	21.17	-0.09	180.42	0.24	5.95E-01	8.02E-01	26.74	0.15	207.80	0.26	4.97E-01	6.51E-01		50.03	0.15	268.34	0.17	2.09E-01	5.49E-01		0.154666277
MSTRG.62	CP_supported		III	StringTie	transcript	127150	127532	382	-	YCR007C	-	YCR007C	tN(GUU)C	+	tN(GUU)C	6.51	-0.10	254.51	0.35	5.98E-01	8.05E-01	5.17	-0.39	157.30	0.49	2.24E-01	3.71E-01		12.81	0.00	277.46	0.21	9.76E-01	1.00E+00		0.392328922
MSTRG.430			XI	StringTie	transcript	630843	631059	216	-	YKR096W	+	ESL2	YKR097W	+	PCK1	7.48	0.10	434.10	0.34	6.15E-01	8.14E-01	7.86	0.46	459.99	0.43	1.37E-01	2.58E-01		17.78	0.26	809.89	0.24	3.24E-02	2.00E-01		0.461070009
MSTRG.261			VI	StringTie	transcript	256175	257222	1047	+	YFR053C	-	HXK1	NA	NA	NA	6.18	0.10	92.04	0.35	6.14E-01	8.14E-01	8.93	0.35	126.22	0.39	2.35E-01	3.86E-01		12.09	-0.18	118.40	0.24	1.01E-01	3.89E-01		0.350152569
MSTRG.344			VIII	StringTie	transcript	201484	204444	2960	+	YHR047C	-	AAP1	YHR048W	+	YHK8	65.65	-0.07	327.17	0.17	6.14E-01	8.14E-01	104.69	0.34	474.68	0.15	2.28E-02	6.25E-02		115.29	-0.14	387.23	0.14	2.01E-01	5.48E-01		0.336669309
MSTRG.96	CP_supported		IV	StringTie	transcript	407799	408186	387	+	NA	NA	NA	YDL024C	-	DIA3	17.78	-0.09	646.77	0.25	6.12E-01	8.14E-01	21.36	-0.21	744.28	0.29	4.06E-01	5.65E-01		27.40	0.12	640.10	0.20	2.96E-01	6.15E-01		0.206015003
MSTRG.3			I	StringTie	transcript	13225	20988	7763	+	YAL064W-B	+	YAL064W-B	YAL064W	+	YAL064W	297.24	0.05	567.72	0.12	6.16E-01	8.14E-01	428.82	0.73	736.52	0.10	3.30E-13	6.01E-12	Y	577.35	0.03	681.46	0.10	6.65E-01	8.74E-01		0.73196769
MSTRG.503	CP_supported		XIII	StringTie	transcript	512328	513463	1135	+	YMR122W-A	+	YMR122W-A	YMR123W	+	PKR1	36.61	0.09	471.15	0.22	6.10E-01	8.14E-01	39.28	-0.07	454.79	0.24	7.45E-01	8.34E-01		52.46	-0.01	437.68	0.16	9.60E-01	9.92E-01		0.08562006
MSTRG.459			XII	StringTie	transcript	467812	468812	1000	+	ETS1-2	-	ETS1-2	RDN5-2	+	RDN5-2	4.85	-0.10	67.93	0.37	6.10E-01	8.14E-01	5.35	-0.62	71.76	0.52	6.89E-02	1.57E-01		6.12	-0.05	62.42	0.23	5.34E-01	1.00E+00		0.619637526
MSTRG.300	CP_supported		VII	StringTie	transcript	700091	700433	342	+	YGR106C	-	VOA1	tL(GAG)G	+	tL(GAG)G	3.66	-0.10	148.64	0.41	6.15E-01	8.14E-01	4.45	0.04	190.37	0.46	9.09E-01	9.48E-01		5.71	-0.05	147.62	0.23	5.24E-01	1.00E+00		0.1015988
MSTRG.302			VII	StringTie	transcript	715283	715800	517	-	YGR110W	+	CLD1	YGR111W	+	YGR111W	8.34	0.09	240.07	0.32	6.17E-01	8.14E-01	7.07	-0.34	165.82	0.42	2.70E-01	4.24E-01		15.19	0.01	292.03	0.21	9.48E-01	9.92E-01		0.336081121
MSTRG.433	CP_supported		XI	StringTie	transcript	650484	653056	2572	+	YKR102W	+	FLO10	YKR103W	+	NFT1	271.77	-0.06	1446.71	0.12	6.22E-01	8.16E-01	302.21	-0.45	1580.63	0.11	7.00E-05	4.09E-04	Y	469.41	-0.15	1737.89	0.12	1.08E-01	4.00E-01		0.445034599
MSTRG.432	CP_supported		XI	StringTie	transcript	649954	650431	477	-	YKR102W	+	FLO10	NA	NA	NA	12.60	0.09	372.74	0.28	6.21E-01	8.16E-01	13.00	0.05	402.53	0.33	8.56E-01	9.11E-01		18.59	-0.11	389.04	0.21	3.38E-01	6.35E-01		0.105961309
MSTRG.119			IV	StringTie	transcript	976292	976694	402	+	YDR259C	-	YAP6	YDR260C	-	SWM1	9.51	0.09	350.69	0.30	6.22E-01	8.16E-01	14.44	1.15	463.38	0.41	3.34E-04	1.67E-03	Y	20.96	-0.06	568.10	0.20	5.75E-01	8.18E-01		1.145201194
MSTRG.672	CP_supported		XVI	StringTie	transcript	678531	678791	260	+	YPR063C	-	YPR063C	YPR064W	+	YPR064W	5.00	-0.10	216.21	0.38	6.26E-01	8.17E-01	3.02	0.19	158.52	0.53	5.37E-01	6.77E-01		13.40	-0.12	557.04	0.22	2.48E-01	5.79E-01		0.194546177
MSTRG.258	CP_supported		VI	StringTie	transcript	245543	245972	429	-	YFR047C	-	BNA6	YFR048W	+	RMD8	6.94	-0.09	225.87	0.34	6.25E-01	8.17E-01	4.89	-0.28	142.82	0.47	3.66E-01	5.21E-01		9.10	0.10	186.59	0.23	3.15E-01	1.00E+00		0.284125308
MSTRG.70			III	StringTie	transcript	294338	294591	253	-	YCR097W	+	HMRA1	tT(AGU)C	+	tT(AGU)C	4.64	-0.10	241.84	0.39	6.29E-01	8.19E-01	4.70	0.00	236.93	0.45	9.91E-01	9.93E-01		11.23	-0.03	409.56	0.22	7.94E-01	9.56E-01		0.0964703
MSTRG.169			Mito	StringTie	transcript	8739	9113	374	+	Q0020	+	Q0020	tW(UCA)Q	+	tW(UCA)Q	3.02	-0.10	121.53	0.44	6.32E-01	8.22E-01	4.30	-0.02	147.10	0.46	9.53E-01	9.69E-01		7.75	0.17	145.94	0.26	6.58E-02	1.00E+00		0.170870099
MSTRG.104			IV	StringTie	transcript	543626	545959	2333	+	YDR043C	-	NRG1	YDR044W	+	HEM13	73.92	0.07	423.39	0.17	6.34E-01	8.22E-01	68.35	-0.24	411.51	0.18	1.47E-01	2.69E-01		71.39	-0.08	298.93	0.15	4.74E-01	7.70E-01		0.243334416
MSTRG.208			V	StringTie	transcript	238385	238915	530	+	YER044C	-	ERG28	YER045C	-	ACA1	8.57	-0.09	212.54	0.32	6.39E-01	8.25E-01	5.47	0.12	149.58	0.43	7.00E-01	8.04E-01		17.52	-0.23	361.66	0.24	4.83E-02	2.63E-01		0.230460475
MSTRG.645	CP_supported		XVI	StringTie	transcript	143390	143726	336	+	YPL217C	-	BMS1	YPL216W	+	YPL216W	13.35	0.09	576.55	0.28	6.41E-01	8.25E-01	11.27	-0.15	393.51	0.35	5.99E-01	7.27E-01		29.09	0.09	864.49	0.19	4.21E-01	7.27E-01		0.147179719
MSTRG.679	CP_supported		XVI	StringTie	transcript	828262	829611	1349	-	YPR148C	-	YPR148C	YPR149W	+	NCE102	34.98	0.08	378.69	0.21	6.41E-01	8.25E-01	42.51	0.12	428.53	0.21	5.48E-01	6.86E-01		72.05	0.08	518.36	0.15	4.39E-01	7.38E-01		0.118823197
MSTRG.612	CP_supported		XV	StringTie	transcript	670653	670957	304	-	YOR178C	-	GAC1	YOR179C	-	SYC1	7.92	0.09	329.30	0.32	6.38E-01	8.25E-01	9.00	0.08	316.08	0.39	7.79E-01	8.59E-01		9.58	0.04	355.10	0.22	6.73E-01	1.00E+00		0.08894537
MSTRG.466			XII	StringTie	transcript	614221	614692	471	-	YLR237W	+	THI7	YLR238W	+	FAR10	17.48	0.08	485.97	0.26	6.44E-01	8.27E-01	14.08	-0.55	454.57	0.35	5.06E-02	1.25E-01		19.97	-0.08	409.06	0.20	4.87E-01	7.76E-01		0.552625188
MSTRG.355	CP_supported		VIII	StringTie	transcript	356131	358175	2044	-	YHR123W	+	EPT1	tF(GAA)H2	-	tF(GAA)H2	179.39	-0.05	1288.65	0.13	6.52E-01	8.29E-01	184.01	-0.03	1262.76	0.13	8.37E-01	9.01E-01		208.24	-0.18	960.75	0.13	7.99E-02	3.34E-01		0.17916745
MSTRG.639	CP_supported		XVI	StringTie	transcript	46581	47179	598	-	YPL263C	-	KEL3	YPL262W	+	FUM1	13.48	-0.08	308.60	0.28	6.48E-01	8.29E-01	12.70	0.18	295.72	0.34	5.11E-01	6.59E-01		23.28	0.16	384.70	0.20	1.74E-01	5.17E-01		0.180990051
MSTRG.440	CP_supported		XII	StringTie	transcript	49225	49646	421	-	YLL044W	+	YLL044W	YLL043W	+	FPS1	6.04	0.09	214.69	0.34	6.50E-01	8.29E-01	5.91	0.55	171.13	0.49	9.61E-02	2.01E-01		10.20	0.04	241.08	0.22	6.71E-01	8.77E-01		0.546525847
MSTRG.427	CP_supported		XI	StringTie	transcript	578471	578860	389	+	YKR073C	-	YKR073C	tK(UUU)K	+	tK(UUU)K	11.02	0.08	385.84	0.29	6.49E-01	8.29E-01	6.72	-1.06	187.12	0.61	6.61E-03	2.25E-02		16.98	0.02	409.82	0.20	8.37E-01	9.72E-01		1.059064038
MSTRG.27			II	StringTie	transcript	255940	256185	245	-	YBR009C	-	HHF2	YBR010W	+	HHT2	4.64	0.09	298.15	0.40	6.52E-01	8.29E-01	5.48	-0.29	323.14	0.46	3.49E-01	5.08E-01		5.97	-0.05	241.28	0.23	5.83E-01	1.00E+00		0.292353628
MSTRG.111			IV	StringTie	transcript	720347	720912	565	+	YDR132C	-	YDR132C	YDR133C	-	YDR133C	16.03	-0.08	383.83	0.27	6.53E-01	8.29E-01	19.79	-0.02	489.13	0.29	9.35E-01	9.62E-01		25.86	-0.21	419.53	0.21	8.89E-02	3.56E-01		0.205104828
MSTRG.207			V	StringTie	transcript	186884	188247	1363	-	YER015W	+	FAA2	YER016W	+	BIM1	89.03	0.06	924.99	0.15	6.63E-01	8.32E-01	146.18	0.52	1502.50	0.14	8.60E-05	4.87E-04	Y	90.26	-0.13	653.23	0.15	2.36E-01	5.67E-01		0.519663293
MSTRG.173			Mito	StringTie	transcript	32917	33673	756	+	NA	NA	NA	NA	NA	NA	47.02	-0.07	859.60	0.20	6.64E-01	8.32E-01	45.09	-0.04	829.56	0.21	8.43E-01	9.02E-01		123.11	0.11	1420.72	0.15	3.17E-01	6.26E-01		0.110178034
MSTRG.248	CP_supported		VI	StringTie	transcript	51464	52959	1495	-	YFL040W	+	YFL040W	YFL039C	-	ACT1	96.53	-0.06	922.96	0.15	6.59E-01	8.32E-01	86.41	0.16	796.56	0.17	3.02E-01	4.58E-01		189.28	0.06	1203.00	0.13	5.16E-01	7.95E-01		0.16472733
MSTRG.290	CP_supported		VII	StringTie	transcript	483270	485096	1826	-	YGL007W	+	YGL007W	YGL006W-A	+	YGL006W-A	62.34	-0.06	469.05	0.18	6.62E-01	8.32E-01	60.77	-0.14	476.80	0.20	4.33E-01	5.88E-01		79.44	0.03	438.52	0.14	7.98E-01	9.57E-01		0.144599975
MSTRG.611	CP_supported		XV	StringTie	transcript	586584	586911	327	+	YOR138C	-	RUP1	YOR139C	-	YOR139C	46.32	0.07	1954.40	0.19	6.64E-01	8.32E-01	47.59	-0.13	1938.90	0.21	4.94E-01	6.49E-01		92.24	0.01	2653.95	0.14	8.85E-01	9.81E-01		0.132074273
MSTRG.267	CP_supported		VII	StringTie	transcript	19674	19925	251	-	NA	NA	NA	YGL255W	+	ZRT1	2.98	-0.09	166.01	0.44	6.62E-01	8.32E-01	2.13	-0.64	88.54	0.76	8.25E-02	1.78E-01		4.27	-0.06	158.95	0.24	4.40E-01	1.00E+00		0.641212696
MSTRG.190			Mito	StringTie	transcript	81316	81604	288	+	Q0275	+	COX3	NA	NA	NA	3.96	0.09	131.24	0.41	6.65E-01	8.32E-01	3.41	0.09	143.31	0.51	7.61E-01	8.47E-01		8.87	0.11	213.47	0.24	2.12E-01	1.00E+00		0.113012395
MSTRG.457			XII	StringTie	transcript	458676	459675	999	.	ETS1-1	-	ETS1-1	RDN5-1	+	RDN5-1	5.79	-0.08	77.98	0.35	6.68E-01	8.34E-01	8.67	-0.42	125.60	0.42	1.72E-01	3.05E-01		10.58	-0.07	104.38	0.22	4.91E-01	7.76E-01		0.417188042
MSTRG.542			XIV	StringTie	transcript	382921	383144	223	-	YNL128W	+	TEP1	YNL127W	+	FAR11	7.07	-0.08	483.01	0.34	6.75E-01	8.42E-01	8.54	-0.29	522.09	0.39	3.25E-01	4.82E-01		11.46	0.06	474.26	0.22	5.58E-01	8.13E-01		0.290327013
MSTRG.223	CP_supported		V	StringTie	transcript	363910	364252	342	-	YER102W	+	RPS8A	YER103W	+	SSA4	9.07	-0.08	307.64	0.31	6.80E-01	8.46E-01	8.39	-0.06	341.33	0.38	8.23E-01	8.98E-01		10.23	-0.02	273.28	0.22	8.29E-01	9.71E-01		0.0772386
MSTRG.182			Mito	StringTie	transcript	62457	63028	571	+	Q0160	+	SCEI	tT(UGU)Q1	+	tT(UGU)Q1	8.46	-0.08	195.78	0.32	6.82E-01	8.46E-01	10.51	-0.47	262.04	0.39	1.14E-01	2.28E-01		21.51	0.10	342.87	0.20	3.86E-01	6.89E-01		0.467846368
MSTRG.499	CP_supported		XIII	StringTie	transcript	438843	439182	339	-	YMR085W	+	YMR085W	YMR086W	+	SEG1	5.23	-0.08	189.84	0.36	6.83E-01	8.46E-01	7.54	0.42	331.27	0.42	1.73E-01	3.05E-01		13.66	-0.05	367.58	0.21	6.35E-01	8.64E-01		0.419008722
